Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG,home_Gls,home_Sh,away_Gls,away_Sh
Stuttgart,RB Leipzig,0,2,0,1,1.0,1.5,78,529,74,528
Wolfsburg,Hertha BSC,0,0,0,0,1.7,0.3,41,411,37,368
Mainz 05,Bochum,1,0,1,0,1.7,1.5,38,476,41,524
Mönchengladbach,Bayer Leverkusen,1,2,0,2,1.3,5.6,55,451,87,611
Union Berlin,Hoffenheim,2,1,1,0,1.4,0.8,33,403,65,457
Köln,Bayern Munich,0,4,0,4,1.1,3.3,28,441,93,633
Augsburg,Eintracht Frankfurt,1,1,1,1,1.0,2.6,49,429,48,402
Arminia,Greuther Fürth,2,2,1,2,0.5,0.7,27,363,28,314
Eintracht Frankfurt,Arminia,0,2,0,1,1.9,1.3,48,402,27,363
Greuther Fürth,Mainz 05,2,1,1,1,1.3,1.8,28,314,38,476
Mönchengladbach,Union Berlin,1,2,1,1,1.5,1.1,55,451,33,403
Bochum,Köln,2,2,2,1,1.8,1.1,41,524,28,441
Freiburg,Stuttgart,2,0,1,0,1.6,0.3,43,392,78,529
Bayer Leverkusen,Augsburg,5,1,4,0,2.9,1.5,87,611,49,429
Hoffenheim,Dortmund,2,3,2,2,1.7,1.6,65,457,68,506
Hertha BSC,Bayern Munich,1,4,0,0,0.9,5.5,37,368,93,633
RB Leipzig,Wolfsburg,2,0,1,0,1.6,0.9,74,528,41,411
Hertha BSC,Bochum,1,1,1,0,0.4,1.2,37,368,41,524
Köln,Freiburg,1,0,1,0,1.0,0.8,28,441,43,392
Mainz 05,Hoffenheim,2,0,1,0,2.2,1.6,38,476,65,457
Augsburg,Union Berlin,2,0,1,0,2.0,1.7,49,429,33,403
Stuttgart,Eintracht Frankfurt,2,3,2,3,1.6,1.1,78,529,48,402
Arminia,Mönchengladbach,1,1,1,1,0.5,2.0,27,363,55,451
Bayern Munich,RB Leipzig,3,2,1,2,3.2,2.2,93,633,74,528
Dortmund,Bayer Leverkusen,2,5,0,2,1.7,2.0,68,506,87,611
Wolfsburg,Greuther Fürth,4,1,1,0,2.5,1.1,41,411,28,314
RB Leipzig,Köln,3,1,2,1,0.9,0.9,74,528,28,441
Eintracht Frankfurt,Wolfsburg,0,2,0,0,1.0,1.5,48,402,41,411
Bayer Leverkusen,Stuttgart,4,2,3,1,1.9,1.1,87,611,78,529
Mönchengladbach,Augsburg,3,2,3,2,2.4,1.6,55,451,49,429
Bochum,Bayern Munich,4,2,2,1,1.4,1.9,41,524,93,633
Greuther Fürth,Hertha BSC,2,1,1,1,2.5,2.1,28,314,37,368
Freiburg,Mainz 05,1,1,1,0,1.8,2.6,43,392,38,476
Union Berlin,Dortmund,0,3,0,2,1.2,2.5,33,403,68,506
Hoffenheim,Arminia,2,0,2,0,3.0,1.0,65,457,27,363
Mainz 05,Bayer Leverkusen,3,2,0,2,1.0,1.0,38,476,87,611
Köln,Eintracht Frankfurt,1,0,1,0,1.1,0.6,28,441,48,402
Stuttgart,Bochum,1,1,0,0,1.2,2.0,78,529,41,524
Wolfsburg,Hoffenheim,1,2,1,2,1.5,1.5,41,411,65,457
Arminia,Union Berlin,1,0,1,0,0.8,0.9,27,363,33,403
Augsburg,Freiburg,1,2,1,1,1.1,2.1,49,429,43,392
Hertha BSC,RB Leipzig,1,6,1,3,1.0,3.4,37,368,74,528
Bayern Munich,Greuther Fürth,4,1,3,0,1.8,0.8,93,633,28,314
